"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"112",6.4,2.7,5.3,1.9,"virginica"
"11",5.4,3.7,1.5,0.2,"setosa"
"52",6.4,3.2,4.5,1.5,"versicolor"
"95",5.6,2.7,4.2,1.3,"versicolor"
"147",6.3,2.5,5,1.9,"virginica"
"114",5.7,2.5,5,2,"virginica"
"46",4.8,3,1.4,0.3,"setosa"
"119",7.7,2.6,6.9,2.3,"virginica"
"136",7.7,3,6.1,2.3,"virginica"
"16",5.7,4.4,1.5,0.4,"setosa"
"18",5.1,3.5,1.4,0.3,"setosa"
"21",5.4,3.4,1.7,0.2,"setosa"
"84",6,2.7,5.1,1.6,"versicolor"
"63",6,2.2,4,1,"versicolor"
"28",5.2,3.5,1.5,0.2,"setosa"
"113",6.8,3,5.5,2.1,"virginica"
"10",4.9,3.1,1.5,0.1,"setosa"
"57",6.3,3.3,4.7,1.6,"versicolor"
"13",4.8,3,1.4,0.1,"setosa"
"98",6.2,2.9,4.3,1.3,"versicolor"
"47",5.1,3.8,1.6,0.2,"setosa"
"107",4.9,2.5,4.5,1.7,"virginica"
"123",7.7,2.8,6.7,2,"virginica"
"7",4.6,3.4,1.4,0.3,"setosa"
"85",5.4,3,4.5,1.5,"versicolor"
"108",7.3,2.9,6.3,1.8,"virginica"
"82",5.5,2.4,3.7,1,"versicolor"
"68",5.8,2.7,4.1,1,"versicolor"
"87",6.7,3.1,4.7,1.5,"versicolor"
"70",5.6,2.5,3.9,1.1,"versicolor"
"39",4.4,3,1.3,0.2,"setosa"
"72",6.1,2.8,4,1.3,"versicolor"
"6",5.4,3.9,1.7,0.4,"setosa"
"101",6.3,3.3,6,2.5,"virginica"
"40",5.1,3.4,1.5,0.2,"setosa"
"53",6.9,3.1,4.9,1.5,"versicolor"
"80",5.7,2.6,3.5,1,"versicolor"
"4",4.6,3.1,1.5,0.2,"setosa"
"26",5,3,1.6,0.2,"setosa"
"17",5.4,3.9,1.3,0.4,"setosa"
"110",7.2,3.6,6.1,2.5,"virginica"
"60",5.2,2.7,3.9,1.4,"versicolor"
"50",5,3.3,1.4,0.2,"setosa"
"102",5.8,2.7,5.1,1.9,"virginica"
"1",5.1,3.5,1.4,0.2,"setosa"
"104",6.3,2.9,5.6,1.8,"virginica"
"141",6.7,3.1,5.6,2.4,"virginica"
"124",6.3,2.7,4.9,1.8,"virginica"
"15",5.8,4,1.2,0.2,"setosa"
"137",6.3,3.4,5.6,2.4,"virginica"
"148",6.5,3,5.2,2,"virginica"
"83",5.8,2.7,3.9,1.2,"versicolor"
"145",6.7,3.3,5.7,2.5,"virginica"
"149",6.2,3.4,5.4,2.3,"virginica"
"20",5.1,3.8,1.5,0.3,"setosa"
"146",6.7,3,5.2,2.3,"virginica"
"88",6.3,2.3,4.4,1.3,"versicolor"
"38",4.9,3.6,1.4,0.1,"setosa"
"43",4.4,3.2,1.3,0.2,"setosa"
"56",5.7,2.8,4.5,1.3,"versicolor"
"121",6.9,3.2,5.7,2.3,"virginica"
"58",4.9,2.4,3.3,1,"versicolor"
"77",6.8,2.8,4.8,1.4,"versicolor"
"2",4.9,3,1.4,0.2,"setosa"
"69",6.2,2.2,4.5,1.5,"versicolor"
"44",5,3.5,1.6,0.6,"setosa"
"23",4.6,3.6,1,0.2,"setosa"
"133",6.4,2.8,5.6,2.2,"virginica"
"30",4.7,3.2,1.6,0.2,"setosa"
"126",7.2,3.2,6,1.8,"virginica"
"122",5.6,2.8,4.9,2,"virginica"
"129",6.4,2.8,5.6,2.1,"virginica"
"150",5.9,3,5.1,1.8,"virginica"
"32",5.4,3.4,1.5,0.4,"setosa"
"127",6.2,2.8,4.8,1.8,"virginica"
"8",5,3.4,1.5,0.2,"setosa"
"118",7.7,3.8,6.7,2.2,"virginica"
"106",7.6,3,6.6,2.1,"virginica"
"100",5.7,2.8,4.1,1.3,"versicolor"
"3",4.7,3.2,1.3,0.2,"setosa"
"5",5,3.6,1.4,0.2,"setosa"
"67",5.6,3,4.5,1.5,"versicolor"
"41",5,3.5,1.3,0.3,"setosa"
"34",5.5,4.2,1.4,0.2,"setosa"
"66",6.7,3.1,4.4,1.4,"versicolor"
"64",6.1,2.9,4.7,1.4,"versicolor"
"27",5,3.4,1.6,0.4,"setosa"
"36",5,3.2,1.2,0.2,"setosa"
"97",5.7,2.9,4.2,1.3,"versicolor"
"131",7.4,2.8,6.1,1.9,"virginica"
"19",5.7,3.8,1.7,0.3,"setosa"
"103",7.1,3,5.9,2.1,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"31",4.8,3.1,1.6,0.2,"setosa"
"115",5.8,2.8,5.1,2.4,"virginica"
"33",5.2,4.1,1.5,0.1,"setosa"
"79",6,2.9,4.5,1.5,"versicolor"
"59",6.6,2.9,4.6,1.3,"versicolor"
"24",5.1,3.3,1.7,0.5,"setosa"
"143",5.8,2.7,5.1,1.9,"virginica"
"92",6.1,3,4.6,1.4,"versicolor"
"25",4.8,3.4,1.9,0.2,"setosa"
"138",6.4,3.1,5.5,1.8,"virginica"
"134",6.3,2.8,5.1,1.5,"virginica"
"93",5.8,2.6,4,1.2,"versicolor"
"109",6.7,2.5,5.8,1.8,"virginica"
"73",6.3,2.5,4.9,1.5,"versicolor"
"94",5,2.3,3.3,1,"versicolor"
"62",5.9,3,4.2,1.5,"versicolor"
"51",7,3.2,4.7,1.4,"versicolor"
"12",4.8,3.4,1.6,0.2,"setosa"
"135",6.1,2.6,5.6,1.4,"virginica"
